model,training,eval_lang,step,pred_langs
alephbert_heb_Hebr,['heb_Hebr'],mon_Cyrl,Step1,"{'kaz_Cyrl': 0.4, 'mon_Cyrl': 0.2}"
alephbert_heb_Hebr,['heb_Hebr'],mon_Cyrl,Step50+sbeam8,"{'kaz_Cyrl': 0.54, 'mon_Cyrl': 0.12}"
alephbert_heb_Hebr,['heb_Hebr'],mon_Cyrl,Base,"{'kaz_Cyrl': 0.13, 'mon_Cyrl': 0.59}"
alephbert_heb_Hebr,['heb_Hebr'],hun_Latn,Labels,{'hun_Latn': 1.0}
alephbert_heb_Hebr,['heb_Hebr'],hun_Latn,Step1,"{'tur_Latn': 0.25, 'eng_Latn': 0.3}"
alephbert_heb_Hebr,['heb_Hebr'],hun_Latn,Step50+sbeam8,"{'tur_Latn': 0.25, 'eng_Latn': 0.28}"
alephbert_heb_Hebr,['heb_Hebr'],hun_Latn,Base,"{'eng_Latn': 0.34, 'tur_Latn': 0.08}"
alephbert_heb_Hebr,['heb_Hebr'],mhr_Cyrl,Labels,"{'kaz_Cyrl': 0.63, 'mon_Cyrl': 0.23}"
alephbert_heb_Hebr,['heb_Hebr'],mhr_Cyrl,Step1,"{'mon_Cyrl': 0.37, 'kaz_Cyrl': 0.43}"
alephbert_heb_Hebr,['heb_Hebr'],mhr_Cyrl,Step50+sbeam8,"{'mon_Cyrl': 0.16, 'kaz_Cyrl': 0.6}"
alephbert_heb_Hebr,['heb_Hebr'],mhr_Cyrl,Base,"{'mon_Cyrl': 0.66, 'kaz_Cyrl': 0.15}"
alephbert_heb_Hebr,['heb_Hebr'],fin_Latn,Labels,{'fin_Latn': 1.0}
alephbert_heb_Hebr,['heb_Hebr'],fin_Latn,Step1,"{'eng_Latn': 0.34, 'tur_Latn': 0.15}"
alephbert_heb_Hebr,['heb_Hebr'],fin_Latn,Step50+sbeam8,"{'eng_Latn': 0.37, 'tur_Latn': 0.17}"
alephbert_heb_Hebr,['heb_Hebr'],fin_Latn,Base,"{'eng_Latn': 0.39, 'tur_Latn': 0.1}"
